-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 


Overdrive|----|Força Total|----|Frenesí

Overdrive II|----|Força Total II|----|Frenesí (II)

Overdrive III|----|Força Total III|----|Frenesí (III)

Seal|----|Enterro|----|Entierro

Seal II|----|Enterro II|----|Entierro (II)

Seal III|----|Enterro III|----|Entierro (III)

Seal IV|----|Enterro IV|----|Entierro (IV)

Delta-Petra|----|Delta-Petra|----|Deltapetra

Delta-Petra II|----|Delta-Petra II|----|Deltapetra (II)

Delta-Petra III|----|Delta-Petra III|----|Deltapetra (III)

Delta-Petra IV|----|Delta-Petra IV|----|Deltapetra (IV)

Abyssal Gate|----|Portões do Abismo|----|Abismo

Abyssal Gate II|----|Portões do Abismo II|----|Abismo (II)

Abyssal Gate III|----|Portões do Abismo III|----|Abismo (III)

Abyssal Gate IV|----|Portões do Abismo IV|----|Abismo (IV)

Savage|----|Selvagem|----|Ensañamiento

Savage II|----|Selvagem II|----|Ensañamiento (II)

Savage III|----|Selvagem III|----|Ensañamiento (III)

Savage IV|----|Selvagem IV|----|Ensañamiento (IV)

Deep Impact|----|Impacto Profundo|----|Impacto colosal

Deep Impact II|----|Impacto Profundo II|----|Impacto colosal (II)

Deep Impact III|----|Impacto Profundo III|----|Impacto colosal (III)

Deep Impact IV|----|Impacto Profundo IV|----|Impacto colosal (IV)

Photon Field|----|Campo de Fótons|----|Oleada fotónica

Photon Field II|----|Campo de Fótons II|----|Oleada fotónica (II)

Photon Field III|----|Campo de Fótons III|----|Oleada fotónica (III)

Photon Field IV|----|Campo de Fótons IV|----|Oleada fotónica (IV)

Obliterate|----|Aniquilação|----|Aniquilación

Obliterate II|----|Aniquilação II|----|Aniquilación (II)

Obliterate III|----|Aniquilação III|----|Aniquilación (III)

Obliterate IV|----|Aniquilação IV|----|Aniquilación (IV)

Crimson Flare|----|Fogo Escarlate|----|Fuego carmesí

Crimson Flare II|----|Fogo Escarlate II|----|Fuego carmesí (II)

Crimson Flare III|----|Fogo Escarlate III|----|Fuego carmesí (III)

Crimson Flare IV|----|Fogo Escarlate IV|----|Fuego carmesí (IV)

Tao Tie [Conqueror]|----|Tao Tie [Conquistador]|----|Tao Tie [Invasor]

Tao Tie [Conqueror] II|----|Tao Tie [Conquistador] II|----|Tao Tie [Invasor] (II)

Tao Tie [Conqueror] III|----|Tao Tie [Conquistador] III|----|Tao Tie [Invasor] (III)

Tao Tie [Conqueror] IV|----|Tao Tie [Conquistador] IV|----|Tao Tie [Invasor] (IV)

Masterblow|----|Golpe de Mestre|----|Exterminio (I)

Masterblow II|----|Golpe de Mestre II|----|Exterminio (II)

Masterblow III|----|Golpe de Mestre III|----|Exterminio (III)

Masterblow IV|----|Golpe de Mestre IV|----|Exterminio (IV)

War God|----|Deus da Guerra|----|Dios de la guerra

War God II|----|Deus da Guerra II|----|Dios de la guerra (II)

War God III|----|Deus da Guerra III|----|Dios de la guerra (III)

War God IV|----|Deus da Guerra IV|----|Dios de la guerra (IV)

Liberate|----|Liberação|----|Liberación

Liberate II|----|Liberação II|----|Liberación (II)

Liberate III|----|Liberação III|----|Liberación (III)

Midnight Sun|----|Sol da Meia-Noite|----|Sol de medianoche

Midnight Sun II|----|Sol da Meia-Noite II|----|Sol de medianoche (II)

Midnight Sun III|----|Sol da Meia-Noite III|----|Sol de medianoche (III)

Midnight Sun IV|----|Sol da Meia-Noite IV|----|Sol de medianoche (IV)

Tao Tie|----|Tao Tie|----|Tao Tie

Tao Tie II|----|Tao Tie II|----|Tao Tie (II)

Tao Tie III|----|Tao Tie III|----|Tao Tie (III)

Tao Tie IV|----|Tao Tie IV|----|Tao Tie (IV)

Hammerspin|----|Martelo Giratório|----|Martillo giratorio

Hammerspin II|----|Martelo Giratório II|----|Martillo giratorio (II)

Hammerspin III|----|Martelo Giratório III|----|Martillo giratorio (III)

Hammerspin IV|----|Martelo Giratório IV|----|Martillo giratorio (IV)

Kilohit|----|Mil Golpes|----|Kilopondio

Kilohit II|----|Mil Golpes II|----|Kilopondio (II)

Kilohit III|----|Mil Golpes III|----|Kilopondio (III)

Kilohit IV|----|Mil Golpes IV|----|Kilopondio (IV)

Catapult|----|Catapulta|----|Catapulta

Catapult II|----|Catapulta II|----|Catapulta (II)

Catapult III|----|Catapulta III|----|Catapulta (III)

Catapult IV|----|Catapult IV|----|Catapulta (IV)

Beatdown|----|Surra|----|Paliza

Beatdown II|----|Surra II|----|Paliza (II)

Beatdown III|----|Surra III|----|Paliza (III)

Phantom Pain|----|Dor Espectral|----|Calvario espectral

Phantom Pain II|----|Dor Espectral II|----|Calvario espectral (II)

Phantom Pain III|----|Dor Espectral III|----|Calvario espectral (III)

Giant Press|----|Abraço de Gigante|----|Abrazo de gigante

Giant Press II|----|Abraço de Gigante II|----|Abrazo de gigante (II)

Giant Press III|----|Abraço de Gigante III|----|Abrazo de gigante (III)

Galaxy|----|Galáxia|----|Galaxia

Galaxy II|----|Galáxia II|----|Galaxia (II)

Galaxy III|----|Galáxia III|----|Galaxia (III)

Twin Snowpetal|----|Pétala Glacial Dupla|----|Doble pétalo glaciar

Twin Snowpetal II|----|Pétala Glacial Dupla II|----|Doble pétalo glaciar (II)

Twin Snowpetal III|----|Pétala Glacial Dupla III|----|Doble pétalo glaciar (III)

Iron Will|----|Vontade de Ferro|----|Voluntad de hierro

Iron Will II|----|Vontade de Ferro II|----|Voluntad de hierro (II)

Iron Will III|----|Vontade de Ferro III|----|Voluntad de hierro (III)

Total Domination|----|Dominação Total|----|Sumisión total

Total Domination II|----|Dominação Total II|----|Sumisión total (II)

Total Domination III|----|Dominação Total III|----|Sumisión total (III)

Brawl|----|Briga|----|Reyerta

Brawl II|----|Briga II|----|Reyerta (II)

Brawl III|----|Briga III|----|Reyerta (III)

Blue Blazes|----|Chamas Azuis|----|Llamas azules

Blue Blazes II|----|Chamas Azuis II|----|Llamas azules (II)

Blue Blazes III|----|Chamas Azuis III|----|Llamas azules (III)

Hellfire|----|Fogo do Inferno|----|Fuego infernal

Hellfire II|----|Fogo do Inferno II|----|Fuego infernal (II)

Hellfire III|----|Fogo do Inferno III|----|Fuego infernal (III)

Pandemonium|----|Pandemonium|----|Pandemonium

Pandemonium II|----|Pandemonium II|----|Pandemonium (II)

Pandemonium III|----|Pandemonium III|----|Pandemonium (III)

Hell Gate|----|Portões do Inferno|----|Portal infernal

(REPETIDO)Hell Gate|----|Portões do Inferno|----|Portal infernal

Flare|----|Fogo|----|Erupción

Flare II|----|Fogo II|----|Erupción (II)

Flare III|----|Fogo III|----|Erupción (III)

Phlegethon|----|Flegeton|----|Flegetonte

Phlegethon II|----|Flegeton II|----|Flegetonte (II)

Phlegethon III|----|Flegeton III|----|Flegetonte (III)

Inferno Insignia|----|Insígnia Infernal|----|Emblema infernal

Inferno Insignia II|----|Insígnia Infernal II|----|Emblema infernal (II)

Inferno Insignia III|----|Insígnia Infernal III|----|Emblema infernal (III)

Impale|----|Empalamento|----|Empalamiento

Impale II|----|Empalamento II|----|Empalamiento (II)

Impale III|----|Empalamento III|----|Empalamiento (III)

Acid Rain|----|Chuva Ácida|----|Lluvia ácida

Acid Rain II|----|Chuva Ácida II|----|Lluvia ácida (II)

Acid Rain III|----|Chuva Ácida III|----|Lluvia ácida (III)

Maelstrom Insignia|----|Insígnia do Caos|----|Emblema del caos

Maelstrom Insignia II|----|Insígnia do Caos II|----|Emblema del caos (II)

Maelstrom Insignia III|----|Insígnia do Caos III|----|Emblema del caos (III)

Hunter's Claw|----|Garra do Caçador|----|Garra cazadora

Hunter's Claw II|----|Garra do Caçador II|----|Garra cazadora (II)

Hunter's Claw III|----|Garra do Caçador III|----|Garra cazadora (III)

Fulgurate|----|Fulgor|----|Fulguración

Fulgurate II|----|Fulgor II|----|Fulguración (II)

Fulgurate III|----|Fulgor III|----|Fulguración (III)

Tempest Insignia|----|Insígnia da Tormenta|----|Emblema tormentoso

Tempest Insignia II|----|Insígnia da Tormenta II|----|Emblema tormentoso (II)

Tempest Insignia III|----|Insígnia da Tormenta III|----|Emblema tormentoso (III)

Run Amok|----|Devastação|----|Devastación

Run Amok II|----|Devastação II|----|Devastación (II)

Run Amok III|----|Devastação III|----|Devastación (III)

Cyclone Charge|----|Ataque do Ciclone|----|Carga ciclón

Cyclone Charge II|----|Ataque do Ciclone II|----|Carga ciclón (II)

Cyclone Charge III|----|Ataque do Ciclone III|----|Carga ciclón (III)

Hurricane|----|Furacão|----|Galerna

Hurricane II|----|Furacão II|----|Galerna (II)

Hurricane III|----|Furacão III|----|Galerna (III)

Hand of God|----|Mão de Deus|----|Mano celestial

Hand of God II|----|Mão de Deus II|----|Mano celestial (II)

Hand of God III|----|Mão de Deus III|----|Mano celestial (III)

Rain of Blades|----|Chuva de Espadas|----|Lluvia de espadas

Rain of Blades II|----|Chuva de Espadas II|----|Lluvia de espadas (II)

Rain of Blades III|----|Chuva de Espadas III|----|Lluvia de espadas (III)

Apocalypse|----|Juízo Final|----|Juicio final

Apocalypse II|----|Juízo Final II|----|Juicio final (II)

Apocalypse III|----|Juízo Final III|----|Juicio final (III)

Divine Retribution|----|Punição Divina|----|Penitencia celestial

Divine Retribution II|----|Punição Divina II|----|Penitencia celestial (II)

Divine Retribution III|----|Punição Divina III|----|Penitencia celestial (III)

Armageddon|----|Armagedon|----|Armagedón

Armageddon II|----|Armagedon II|----|Armagedón (II)

Armageddon III|----|Armagedon III|----|Armagedón (III)

Battle Commands dummy|----|Battle Commands dummy|----|Órdenes de combate

Can't target\Ttoo far away!|----|Fora de alcance, alvo muito distante!|----|Objetivo fuera de alcance.

(REPETIDO)Can't target\Ttoo far away!|----|Fora de alcance, alvo muito distante!|----|Objetivo fuera de alcance.

Can't act\TBotched!|----|Não é possível agir, Desorientado!|----|¡Desorden! Imposible actuar.

Can't act\TEnthralled!|----|Não é possível agir, Hipnotizado!|----|¡Hipnosis! Imposible actuar.

Close in!|----|Cheguem perto!|----|¡Acercaos al enemigo!

Stay on your toes.|----|Permaneçam onde estão.|----|Permaneced alerta.

Stand your ground!|----|Defendam sua posição!|----|Defended vuestra posición.

Recover your health!|----|Recuperem sua saúde!|----|Esperad y curad a los aliados.

Wait for a chance!|----|Aguardem uma oportunidade!|----|Esperad vuestra oportunidad.

Set up the field!|----|Preparem o campo de batalha!|----|¡Preparad el campo de batalla!

Be our shield!|----|Sejam o nosso escudo!|----|¡Protegednos del enemigo!

Strengthen your defenses!|----|Fortaleçam suas defesas!|----|¡Reforzad vuestras defensas!

Heal the others!|----|Curem os outros!|----|¡Curad a las demás unidades!

Hurry and heal them!|----|Vá curá-los depressa!|----|¡Daos prisa y curadlos!

Save them, no matter what!|----|Salvem eles, custe o que custar!|----|¡Salvadlos cueste lo que cueste!

Recover with mystic arts!|----|Recuperem usando artes místicas!|----|¡Recuperaos con artes místicas!

Heal yourself with item arts!|----|Curem-se usando artes com itens!|----|¡Curaos con artes de objetos!

Get your HP up!|----|Aumentem seus PV!|----|¡Reponed vuestros PV!

Bring them back!|----|Tragam-nos de volta!|----|¡Traedlos de vuelta!

Clear their status ailments!|----|Curem suas alterações de status!|----|¡Curad sus alteraciones!

Clear your status ailments!|----|Curem suas alterações de status!|----|¡Curaos esas alteraciones!

Cure them even if it kills them!|----|Curem eles a qualquer custo!|----|¡Curadlos como sea!

Attack!|----|Ao ataque!|----|¡Al ataque!

Back them up!|----|Ajudem eles!|----|¡Echadles una mano!

Get 'em, no matter what!|----|Detenham eles, a qualquer custo!|----|¡Detenedlos a cualquier precio!

Follow Rush!|----|Sigam o Rush!|----|¡Apoyad a Rush!

Charge!|----|Ataquem!|----|¡A por el jefe!

Be strong!|----|Sejam fortes!|----|¡Echadle un poco de valor!

Don't be afraid to die!|----|Não tenham medo da morte!|----|¡No os dejéis intimidar!

Act wisely!|----|Lutem com sabedoria!|----|¡Demostrad lo que valéis!

Drive 'em out!|----|Mostrem a eles quem manda aqui!|----|¡Demostrad quién manda aquí!

Clean 'em up quick!|----|Acabem com eles, rápido!|----|¡Despachadlos rápidamente!

Give it all you've got!|----|Deem tudo de si!|----|¡Empleaos a fondo!

Turn it around!|----|Deem a eles o que merecem!|----|¡Dadles su merecido!

Finish 'em off!|----|Acabem com eles!|----|¡Acabad con ellos!

Give offensive support!|----|Concentrem-se no ataque!|----|¡Concentraos en el ataque!

Give defensive support!|----|Concentrem-se na defesa!|----|¡Concentraos en la defensa!

Attack with combat arts!|----|Ataquem usando artes de combate!|----|¡Atacad con artes de combate!

Attack with mystic arts!|----|Ataquem usando artes místicas!|----|¡Atacad con artes místicas!

Attack with item arts!|----|Ataquem usando artes de itens!|----|¡Atacad con artes de objetos!

Slam 'em with status ailments!|----|Ataquem com alterações de status!|----|¡Machacadlos con alteraciones!

Psyche them out!|----|Acabem com a moral deles!|----|¡Hundidles la moral!

Take 'em all out at once!|----|Acabem com eles de uma vez!|----|¡Aniquiladlos de un plumazo!

Keep your HP up!|----|Mantenham seus PVs elevados!|----|¡Atacad, pero curaos las heridas!

Hang in there!|----|Aguentem aí!|----|¡Resistid un poco más!

Clear those ailments!|----|Curem essas alterações de status!|----|¡Curaos las alteraciones!

Lower their morale!|----|Diminuam a moral deles!|----|¡Atacad y hundidles la moral!

Finish 'em with weapon arts!|----|Ataquem com técnicas de armas!|----|¡Atacad con técnicas de armas!

Attack from afar!|----|Ataquem de longe!|----|¡Atacad desde lejos!

Do area attacks from afar!|----|Ataquem à distância!|----|¡Atacad a distancia!

Attack the lead ranks!|----|Ataquem suas fileiras frontais!|----|¡Machacad su vanguardia!

Aim for the back ranks!|----|Ataquem sua retaguarda!|----|¡Machacad su retaguardia!

Cut off their leader!|----|Acabem com seu líder!|----|¡Detened a su líder!

Knock 'em out!|----|Acabem com eles!|----|¡Dadles el golpe de gracia!

Strike from the sides!|----|Ataquem pelos flancos!|----|¡Atacad sus flancos!

Hit 'em from behind!|----|Ataquem pela retaguarda!|----|¡Atacad su retaguardia!

Lay down cover!|----|Cubram seus companheiros!|----|¡Cubrid a vuestros compañeros!

Help 'em out!|----|Ajudem eles!|----|¡Ayudadles!

Support your friends!|----|Apoiem seus companheiros!|----|¡Apoyad a vuestros compañeros!

Play it by ear!|----|Façam aquilo que achar melhor!|----|¡Haced lo que os parezca!

Lure them off!|----|Atraiam eles!|----|¡Despistadlos!

Use Second Chance!|----|Use a Segunda Chance!|----|¡Utiliza la Segunda oportunidad!

Save 'em with Second Chance!|----|Salve eles com a Segunda Chance!|----|¡Dales una Segunda oportunidad!

Set up a decoy!|----|Preparem uma isca!|----|¡Preparad un señuelo!

Act secretly with Stealth!|----|Ajam com furtividade!|----|¡Actuad sigilosamente!

Stealth those guys!|----|Movam-se com furtividade!|----|¡Moveos con sigilo!

Destroy them with Snowblind!|----|Destrua eles usando a Geada!|----|¡Destrúyelos a base de Escarcha!

Crush them with Zeal's Virtue!|----|Esmague eles com o Zelo Virtuoso!|----|¡Aplástalos con el Velo virtuoso!

Smash 'em with Snowpetal!|----|Esmage eles com a Pétala Glacial!|----|¡Congélalos con el Pétalo glaciar!

Hit them with Bel'kwinith's Fury!|----|Use a Fúria de Belawinith!|----|¡Que vean la Furia de Belawinith!

Crush them with the Schiavona!|----|Esmage eles com a Schiavona!|----|¡Aplástalos con la Schiavona!

Crush 'em with Lugh's Revenge!|----|Use a Vingança de Lugh!|----|¡Que sufran la Venganza de Lugh!

Finish this with Megalore!|----|Termine isso com a Ira Ancestral!|----|¡Aniquílalos con la Ira ancestral!

Use Blackout!|----|Use o Apagão!|----|¡Abre el Agujero negro!

Use Whiteout!|----|Use a Tempestade de Neve!|----|¡Libera la Ventisca!

Use Animalcule!|----|Use o Animálculo!|----|¡Usa el Animálculo!

Use Fatal Eclipse!|----|Use o Eclipse Fatal!|----|¡Utiliza el Sol negro!

Use Rejuvenating Water!|----|Use o Elixir da Juventude!|----|¡Utiliza el Elixir de juventud!

Finish this with Omnistrike!|----|Termine isso com o Omniataque!|----|¡Aniquílalos con el Omniataque!

Talisman's Gift!|----|Poder do Talismã!|----|¡Por el don del talismán!

Irina! Use Omnistrike!|----|Irina! Use o Omniataque!|----|¡Irina, lanza un Omniataque!

Dave! Crush 'em with Ex Machina!|----|Dave! Use a Ex Machina!|----|¡Aplástalos con Ex Machina!

Dave! End it with the Gae Bolg!|----|Dave! Use o Gae Bolg!|----|¡Aniquílalos con el Gae Bolg!

Jager! Finish this with Beowulf!|----|Jager! Use o Beowulf!|----|¡Jäger, aniquílalos con el Beowulf!

Emmy! Use Hundred Flowers!|----|Emmy! Use Centenas de Flores!|----|¡Emmy, las Flores de cerezo!

Cyclops!|----|Ciclope!|----|¡Cíclope!

Namul, Niram!|----|Namul, Niram!|----|¡Namul Niram!

Lob Omen!|----|Lob Omen!|----|¡Lob Omen!

Gae Bolg: Fire!|----|Gae Bolg: Fogo!|----|Gae Bolg... ¡FUEGO!

What...what is this power?|----|O quê...de onde vem essa energia?|----|¿De dónde viene esta energía?

Release...|----|Libere seu poder...|----|Libera tu poder...

Will you give me the power...?|----|Você vai me seu poder...?|----|Otórgame tu poder...

I'll bind you...so, be released!|----|Talismã, libere seu poder!|----|¡Talismán, libera tu poder!

I know you can hear me!|----|Eu sei que pode me ouvir!|----|¡Sé que puedes oírme!

How long...can this last?|----|Quanto tempo isso vai durar?|----|¿Cuánto va a durar esto?

Omnistrike!|----|Omniataque!|----|¡Omniataque!

It's best to bind it. Now, come!|----|Melhor me ligar a ele. Vamos!|----|Será mejor vincularlo...

Close-Range|----|Curto Alcance|----|Corto alcance

Close-Range: Rear|----|Curto Alcance: Retaguarda|----|Corto alcance: Retaguardia

Close-Range: Flank|----|Curto Alcance: Flanco|----|Corto alcance: Flanco

Long-Range|----|Longo Alcance|----|Largo alcance

Long-Range: Sub-Target|----|Longo Alcance: Alvo Secundário|----|Largo alcance: Objetivo secundario

Standby: No Deadlock|----|Em Espera: Não envolvido em Embate|----|En espera, no trabado en duelo

Standby: Deadlocked|----|Em Espera: Envolvido em Embate|----|En espera, trabado en duelo

Do nothing|----|Não faça nada|----|No hagáis nada.

Formation dummy|----|Formation dummy|----|Formaciones

Melee Stance|----|Posição de Combate|----|Posición almenar

Melee Stance II|----|Posição de Combate II|----|Posición almenar (II)

Melee Stance III|----|Posição de Combate III|----|Posición almenar (III)

Cup of Celapaleis|----|Taça de Celapaleis|----|Vasija de Celapalais

Cup of Celapaleis II|----|Taça de Celapaleis II|----|Vasija de Celapalais (II)

Cup of Celapaleis III|----|Taça de Celapaleis III|----|Vasija de Celapalais (III)

Counteroffensive|----|Contraofensiva|----|Contraofensiva

Counteroffensive II|----|Contraofensiva II|----|Contraofensiva (II)

Counteroffensive III|----|Contraofensiva III|----|Contraofensiva (III)

Stacked Attack|----|Ataques Combinados|----|Ataque en oleadas

Stacked Attack II|----|Ataques Combinados II|----|Ataque en oleadas (II)

Stacked Attack III|----|Ataques Combinados III|----|Ataque en oleadas (III)

Raiders' Fork|----|Tridente do Bandido|----|Horca del bandido

Raiders' Fork II|----|Tridente do Bandido II|----|Horca del bandido (II)

Raiders' Fork III|----|Tridente do Bandido III|----|Horca del bandido (III)

Marauders' Glaive|----|Gládio do Saqueador|----|Guja del saqueador

Marauders' Glaive II|----|Gládio do Saqueador II|----|Guja del saqueador (II)

Marauders' Glaive III|----|Gládio do Saqueador III|----|Guja del saqueador (III)

Scatterswarm|----|Dispersão|----|Dispersión

Scatterswarm II|----|Dispersão II|----|Dispersión (II)

Scatterswarm III|----|Dispersão III|----|Dispersión (III)

Leapfrog|----|Salto de Rã|----|Salto de rana

Leapfrog II|----|Salto de Rã II|----|Salto de rana (II)

Leapfrog III|----|Salto de Rã III|----|Salto de rana (III)

Chariot|----|Carruagem|----|Carruaje

Chariot II|----|Carruagem II|----|Carruaje (II)

Chariot III|----|Carruagem III|----|Carruaje (III)

Whirlpool|----|Redemoinho|----|Remolino

Whirlpool II|----|Redemoinho II|----|Remolino (II)

Whirlpool III|----|Redemoinho III|----|Remolino (III)

Maelstrom|----|Turbilhão|----|Vórtice

Maelstrom II|----|Turbilhão II|----|Vórtice (II)

Maelstrom III|----|Turbilhão III|----|Vórtice (III)

(REPETIDO)Hurricane|----|Furacão|----|Huracán

(REPETIDO)Hurricane II|----|Furacão II|----|Huracán (II)

(REPETIDO)Hurricane III|----|Furacão III|----|Huracán (III)

Hangman's Noose|----|Laço do Carrasco|----|Árbol del ahorcado

Hangman's Noose II|----|Laço do Carrasco II|----|Árbol del ahorcado (II)

Hangman's Noose III|----|Laço do Carrasco III|----|Árbol del ahorcado (III)

Hourglass|----|Ampulheta|----|Reloj de arena

Hourglass II|----|Ampulheta II|----|Reloj de arena (II)

Hourglass III|----|Ampulheta III|----|Reloj de arena (III)

Vanguard|----|Vanguarda|----|Vanguardia

Vanguard II|----|Vanguarda II|----|Vanguardia (II)

Vanguard III|----|Vanguarda III|----|Vanguardia (III)

Arch|----|Arco|----|Arco

Arch II|----|Arco II|----|Arco (II)

Arch III|----|Arco III|----|Arco (III)

Arrow of Athlum|----|Flecha de Athlum|----|Saeta de Athlum

Arrow of Athlum II|----|Flecha de Athlum II|----|Saeta de Athlum (II)

Arrow of Athlum III|----|Flecha de Athlum III|----|Saeta de Athlum (III)

Wings of Nagapur|----|Asas de Nagapur|----|Alas de Nagapur

Wings of Nagapur II|----|Asas de Nagapur II|----|Alas de Nagapur (II)

Wings of Nagapur III|----|Asas de Nagapur III|----|Alas de Nagapur (III)

Pincers' Grip|----|Pinça|----|Pinza

Pincers' Grip II|----|Pinça II|----|Pinza (II)

Pincers' Grip III|----|Pinça III|----|Pinza (III)

Talons' Clutch|----|Garra|----|Garra

Talons' Clutch II|----|Garra II|----|Garra (II)

Talons' Clutch III|----|Garra III|----|Garra (III)

Claws' Grasp|----|Aperto da Garra|----|Zarpa

Claws' Grasp II|----|Aperto da Garra II|----|Zarpa (II)

Claws' Grasp III|----|Aperto da Garra III|----|Zarpa (III)

Goblet|----|Taça|----|Copa

Goblet II|----|Taça II|----|Copa (II)

Goblet III|----|Taça III|----|Copa (III)

Chalice|----|Cálice|----|Cáliz

Chalice II|----|Cálice II|----|Cáliz (II)

Chalice III|----|Cálice III|----|Cáliz (III)

Wedge|----|Cunha|----|Cuña

Wedge II|----|Cunha II|----|Cuña (II)

Wedge III|----|Cunha III|----|Cuña (III)

Chisel|----|Cinzel|----|Cincel

Chisel II|----|Cinzel II|----|Cincel (II)

Chisel III|----|Cinzel III|----|Cincel (III)

Mattock|----|Picareta|----|Pico

Mattock II|----|Picareta II|----|Pico (II)

Mattock III|----|Picareta III|----|Pico (III)

Wave Crest|----|Crista da Onda|----|Cresta de la ola

Wave Crest II|----|Crista da Onda II|----|Cresta de la ola (II)

Wave Crest III|----|Crista da Onda III|----|Cresta de la ola (III)

Riptide|----|Maremoto|----|Maremoto

Riptide II|----|Maremoto II|----|Maremoto (II)

Riptide III|----|Maremoto III|----|Maremoto (III)

Leash|----|Rédea Curta|----|Corbata

Leash II|----|Rédea Curta II|----|Corbata (II)

Leash III|----|Rédea Curta III|----|Corbata (III)

Lariat|----|Laço|----|Lazo

Lariat II|----|Laço II|----|Lazo (II)

Lariat III|----|Laço III|----|Lazo (III)

Hill and Vale|----|Colina e Vale|----|Colina y vaguada

Hill and Vale II|----|Colina e Vale II|----|Colina y vaguada (II)

Hill and Vale III|----|Colina e Vale III|----|Colina y vaguada (III)

Skirmish Cross|----|Condecoração|----|Condecoración

Skirmish Cross II|----|Condecoração II|----|Condecoración (II)

Skirmish Cross III|----|Condecoração III|----|Condecoración (III)

Scorpion|----|Escorpião|----|Escorpión

Scorpion II|----|Escorpião II|----|Escorpión (II)

Scorpion III|----|Escorpião III|----|Escorpión (III)

Needle|----|Ferrão|----|Aguijón

Needle II|----|Ferrão II|----|Aguijón (II)

Needle III|----|Ferrão III|----|Aguijón (III)

Spike|----|Espigão|----|Dardo

Spike II|----|Espigão II|----|Dardo (II)

Spike III|----|Espigão III|----|Dardo (III)

Rattail|----|Cauda de Rato|----|Cola de rata

Rattail II|----|Cauda de Rato II|----|Cola de rata (II)

Rattail III|----|Cauda de Rato III|----|Cola de rata (III)

Foxtail|----|Cauda de Raposa|----|Cola de zorro

Foxtail II|----|Cauda de Raposa II|----|Cola de zorro (II)

Foxtail III|----|Cauda de Raposa III|----|Cola de zorro (III)

Dragontail|----|Cauda de Dragão|----|Cola de dragón

Dragontail II|----|Cauda de Dragão II|----|Cola de dragón (II)

Dragontail III|----|Cauda de Dragão III|----|Cola de dragón (III)

Trident|----|Tridente|----|Tridente

Trident II|----|Tridente II|----|Tridente (II)

Trident III|----|Tridente III|----|Tridente (III)

Battle Crown|----|Coroa de Batalha|----|Corona

Battle Crown II|----|Coroa de Batalha II|----|Corona (II)

Battle Crown III|----|Coroa de Batalha III|----|Corona (III)

Mystic Mountain|----|Monte Místico|----|Monte místico

Mystic Mountain II|----|Monte Místico II|----|Monte místico (II)

Mystic Mountain III|----|Monte Místico III|----|Monte místico (III)

Wroth Volcano|----|Vulcão Enfurecido|----|Volcán furioso

Wroth Volcano II|----|Vulcão Enfurecido II|----|Volcán furioso (II)

Wroth Volcano III|----|Vulcão Enfurecido III|----|Volcán furioso (III)

(REPETIDO)Catapult|----|Catapulta|----|Catapulta

(REPETIDO)Catapult II|----|Catapulta II|----|Catapulta (II)

(REPETIDO)Catapult III|----|Catapulta III|----|Catapulta (III)

Ballista|----|Balista|----|Bombarda

Ballista II|----|Balista II|----|Bombarda (II)

Ballista III|----|Balista III|----|Bombarda (III)

Pentacle|----|Pentáculo|----|Pentáculo

Pentacle II|----|Pentáculo II|----|Pentáculo (II)

Pentacle III|----|Pentáculo III|----|Pentáculo (III)

Cascade|----|Cascata|----|Cascada

Cascade II|----|Cascata II|----|Cascada (II)

Cascade III|----|Cascata III|----|Cascada (III)

Avalanche|----|Avalanche|----|Avalancha

Avalanche II|----|Avalanche II|----|Avalancha (II)

Avalanche III|----|Avalanche III|----|Avalancha (III)

